,Year,State,Number Fatalities,lon,lat
0,1989,ACT,32,148.6222677,-35.5184035
1,1989,NSW,959,145.5605943,-32.7416489
2,1989,NT,61,129.0049828,-18.340954
3,1989,Qld,428,136.7917573,-18.9522725
4,1989,SA,222,130.510124,-31.9768964
5,1989,Tas,80,143.9194326,-41.566745
6,1989,Vic,776,143.2460735,-36.5564686
7,1989,WA,242,111.8589024,-24.1243605
8,1990,ACT,26,148.6222677,-35.5184035
9,1990,NSW,797,145.5605943,-32.7416489
10,1990,NT,68,129.0049828,-18.340954
11,1990,Qld,399,136.7917573,-18.9522725
12,1990,SA,226,130.510124,-31.9768964
13,1990,Tas,71,143.9194326,-41.566745
14,1990,Vic,548,143.2460735,-36.5564686
15,1990,WA,196,111.8589024,-24.1243605
16,1991,ACT,17,148.6222677,-35.5184035
17,1991,NSW,663,145.5605943,-32.7416489
18,1991,NT,67,129.0049828,-18.340954
19,1991,Qld,395,136.7917573,-18.9522725
20,1991,SA,184,130.510124,-31.9768964
21,1991,Tas,77,143.9194326,-41.566745
22,1991,Vic,503,143.2460735,-36.5564686
23,1991,WA,207,111.8589024,-24.1243605
24,1992,ACT,20,148.6222677,-35.5184035
25,1992,NSW,649,145.5605943,-32.7416489
26,1992,NT,54,129.0049828,-18.340954
27,1992,Qld,416,136.7917573,-18.9522725
28,1992,SA,165,130.510124,-31.9768964
29,1992,Tas,74,143.9194326,-41.566745
30,1992,Vic,396,143.2460735,-36.5564686
31,1992,WA,200,111.8589024,-24.1243605
32,1993,ACT,12,148.6222677,-35.5184035
33,1993,NSW,581,145.5605943,-32.7416489
34,1993,NT,44,129.0049828,-18.340954
35,1993,Qld,396,136.7917573,-18.9522725
36,1993,SA,218,130.510124,-31.9768964
37,1993,Tas,58,143.9194326,-41.566745
38,1993,Vic,435,143.2460735,-36.5564686
39,1993,WA,209,111.8589024,-24.1243605
40,1994,ACT,17,148.6222677,-35.5184035
41,1994,NSW,646,145.5605943,-32.7416489
42,1994,NT,41,129.0049828,-18.340954
43,1994,Qld,418,136.7917573,-18.9522725
44,1994,SA,159,130.510124,-31.9768964
45,1994,Tas,59,143.9194326,-41.566745
46,1994,Vic,377,143.2460735,-36.5564686
47,1994,WA,211,111.8589024,-24.1243605
48,1995,ACT,15,148.6222677,-35.5184035
49,1995,NSW,620,145.5605943,-32.7416489
50,1995,NT,61,129.0049828,-18.340954
51,1995,Qld,456,136.7917573,-18.9522725
52,1995,SA,181,130.510124,-31.9768964
53,1995,Tas,57,143.9194326,-41.566745
54,1995,Vic,418,143.2460735,-36.5564686
55,1995,WA,209,111.8589024,-24.1243605
56,1996,ACT,23,148.6222677,-35.5184035
57,1996,NSW,581,145.5605943,-32.7416489
58,1996,NT,72,129.0049828,-18.340954
59,1996,Qld,385,136.7917573,-18.9522725
60,1996,SA,181,130.510124,-31.9768964
61,1996,Tas,64,143.9194326,-41.566745
62,1996,Vic,417,143.2460735,-36.5564686
63,1996,WA,247,111.8589024,-24.1243605
64,1997,ACT,17,148.6222677,-35.5184035
65,1997,NSW,576,145.5605943,-32.7416489
66,1997,NT,60,129.0049828,-18.340954
67,1997,Qld,360,136.7917573,-18.9522725
68,1997,SA,148,130.510124,-31.9768964
69,1997,Tas,32,143.9194326,-41.566745
70,1997,Vic,377,143.2460735,-36.5564686
71,1997,WA,197,111.8589024,-24.1243605
72,1998,ACT,22,148.6222677,-35.5184035
73,1998,NSW,556,145.5605943,-32.7416489
74,1998,NT,69,129.0049828,-18.340954
75,1998,Qld,279,136.7917573,-18.9522725
76,1998,SA,168,130.510124,-31.9768964
77,1998,Tas,48,143.9194326,-41.566745
78,1998,Vic,390,143.2460735,-36.5564686
79,1998,WA,223,111.8589024,-24.1243605
80,1999,ACT,19,148.6222677,-35.5184035
81,1999,NSW,577,145.5605943,-32.7416489
82,1999,NT,49,129.0049828,-18.340954
83,1999,Qld,314,136.7917573,-18.9522725
84,1999,SA,151,130.510124,-31.9768964
85,1999,Tas,53,143.9194326,-41.566745
86,1999,Vic,383,143.2460735,-36.5564686
87,1999,WA,218,111.8589024,-24.1243605
88,2000,ACT,18,148.6222677,-35.5184035
89,2000,NSW,603,145.5605943,-32.7416489
90,2000,NT,51,129.0049828,-18.340954
91,2000,Qld,317,136.7917573,-18.9522725
92,2000,SA,166,130.510124,-31.9768964
93,2000,Tas,43,143.9194326,-41.566745
94,2000,Vic,407,143.2460735,-36.5564686
95,2000,WA,212,111.8589024,-24.1243605
96,2001,ACT,16,148.6222677,-35.5184035
97,2001,NSW,524,145.5605943,-32.7416489
98,2001,NT,50,129.0049828,-18.340954
99,2001,Qld,324,136.7917573,-18.9522725
100,2001,SA,153,130.510124,-31.9768964
101,2001,Tas,61,143.9194326,-41.566745
102,2001,Vic,444,143.2460735,-36.5564686
103,2001,WA,165,111.8589024,-24.1243605
104,2002,ACT,10,148.6222677,-35.5184035
105,2002,NSW,561,145.5605943,-32.7416489
106,2002,NT,55,129.0049828,-18.340954
107,2002,Qld,322,136.7917573,-18.9522725
108,2002,SA,154,130.510124,-31.9768964
109,2002,Tas,37,143.9194326,-41.566745
110,2002,Vic,397,143.2460735,-36.5564686
111,2002,WA,179,111.8589024,-24.1243605
112,2003,ACT,11,148.6222677,-35.5184035
113,2003,NSW,539,145.5605943,-32.7416489
114,2003,NT,53,129.0049828,-18.340954
115,2003,Qld,310,136.7917573,-18.9522725
116,2003,SA,157,130.510124,-31.9768964
117,2003,Tas,41,143.9194326,-41.566745
118,2003,Vic,330,143.2460735,-36.5564686
119,2003,WA,180,111.8589024,-24.1243605
120,2004,ACT,9,148.6222677,-35.5184035
121,2004,NSW,510,145.5605943,-32.7416489
122,2004,NT,35,129.0049828,-18.340954
123,2004,Qld,311,136.7917573,-18.9522725
124,2004,SA,139,130.510124,-31.9768964
125,2004,Tas,58,143.9194326,-41.566745
126,2004,Vic,343,143.2460735,-36.5564686
127,2004,WA,178,111.8589024,-24.1243605
128,2005,ACT,26,148.6222677,-35.5184035
129,2005,NSW,508,145.5605943,-32.7416489
130,2005,NT,55,129.0049828,-18.340954
131,2005,Qld,330,136.7917573,-18.9522725
132,2005,SA,148,130.510124,-31.9768964
133,2005,Tas,51,143.9194326,-41.566745
134,2005,Vic,346,143.2460735,-36.5564686
135,2005,WA,163,111.8589024,-24.1243605
136,2006,ACT,13,148.6222677,-35.5184035
137,2006,NSW,496,145.5605943,-32.7416489
138,2006,NT,45,129.0049828,-18.340954
139,2006,Qld,335,136.7917573,-18.9522725
140,2006,SA,117,130.510124,-31.9768964
141,2006,Tas,55,143.9194326,-41.566745
142,2006,Vic,337,143.2460735,-36.5564686
143,2006,WA,200,111.8589024,-24.1243605
144,2007,ACT,14,148.6222677,-35.5184035
145,2007,NSW,435,145.5605943,-32.7416489
146,2007,NT,58,129.0049828,-18.340954
147,2007,Qld,360,136.7917573,-18.9522725
148,2007,SA,124,130.510124,-31.9768964
149,2007,Tas,45,143.9194326,-41.566745
150,2007,Vic,332,143.2460735,-36.5564686
151,2007,WA,235,111.8589024,-24.1243605
152,2008,ACT,14,148.6222677,-35.5184035
153,2008,NSW,374,145.5605943,-32.7416489
154,2008,NT,75,129.0049828,-18.340954
155,2008,Qld,328,136.7917573,-18.9522725
156,2008,SA,99,130.510124,-31.9768964
157,2008,Tas,39,143.9194326,-41.566745
158,2008,Vic,303,143.2460735,-36.5564686
159,2008,WA,205,111.8589024,-24.1243605
160,2009,ACT,12,148.6222677,-35.5184035
161,2009,NSW,454,145.5605943,-32.7416489
162,2009,NT,31,129.0049828,-18.340954
163,2009,Qld,331,136.7917573,-18.9522725
164,2009,SA,119,130.510124,-31.9768964
165,2009,Tas,63,143.9194326,-41.566745
166,2009,Vic,290,143.2460735,-36.5564686
167,2009,WA,191,111.8589024,-24.1243605
168,2010,ACT,19,148.6222677,-35.5184035
169,2010,NSW,405,145.5605943,-32.7416489
170,2010,NT,50,129.0049828,-18.340954
171,2010,Qld,249,136.7917573,-18.9522725
172,2010,SA,118,130.510124,-31.9768964
173,2010,Tas,31,143.9194326,-41.566745
174,2010,Vic,288,143.2460735,-36.5564686
175,2010,WA,193,111.8589024,-24.1243605
176,2011,ACT,6,148.6222677,-35.5184035
177,2011,NSW,364,145.5605943,-32.7416489
178,2011,NT,45,129.0049828,-18.340954
179,2011,Qld,269,136.7917573,-18.9522725
180,2011,SA,103,130.510124,-31.9768964
181,2011,Tas,24,143.9194326,-41.566745
182,2011,Vic,287,143.2460735,-36.5564686
183,2011,WA,179,111.8589024,-24.1243605
184,2012,ACT,12,148.6222677,-35.5184035
185,2012,NSW,369,145.5605943,-32.7416489
186,2012,NT,49,129.0049828,-18.340954
187,2012,Qld,280,136.7917573,-18.9522725
188,2012,SA,94,130.510124,-31.9768964
189,2012,Tas,31,143.9194326,-41.566745
190,2012,Vic,282,143.2460735,-36.5564686
191,2012,WA,183,111.8589024,-24.1243605
192,2013,ACT,7,148.6222677,-35.5184035
193,2013,NSW,333,145.5605943,-32.7416489
194,2013,NT,37,129.0049828,-18.340954
195,2013,Qld,271,136.7917573,-18.9522725
196,2013,SA,98,130.510124,-31.9768964
197,2013,Tas,36,143.9194326,-41.566745
198,2013,Vic,243,143.2460735,-36.5564686
199,2013,WA,162,111.8589024,-24.1243605
200,2014,ACT,10,148.6222677,-35.5184035
201,2014,NSW,307,145.5605943,-32.7416489
202,2014,NT,39,129.0049828,-18.340954
203,2014,Qld,223,136.7917573,-18.9522725
204,2014,SA,108,130.510124,-31.9768964
205,2014,Tas,33,143.9194326,-41.566745
206,2014,Vic,248,143.2460735,-36.5564686
